sample,fasta
10_S10_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/10_S10_contigs.fasta
10_S9_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/10_S9_contigs.fasta
11_S11_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/11_S11_contigs.fasta
12_S12_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/12_S12_contigs.fasta
12_S1_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/12_S1_contigs.fasta
13_S13_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/13_S13_contigs.fasta
14_S2_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/14_S2_contigs.fasta
15_S3_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/15_S3_contigs.fasta
18_S4_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/18_S4_contigs.fasta
19_S5_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/19_S5_contigs.fasta
1_S1_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/1_S1_contigs.fasta
20_S10_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/20_S10_contigs.fasta
26_S2_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/26_S2_contigs.fasta
2_S2_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/2_S2_contigs.fasta
2_S8_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/2_S8_contigs.fasta
33_S3_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/33_S3_contigs.fasta
35_S4_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/35_S4_contigs.fasta
38_S5_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/38_S5_contigs.fasta
3_S3_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/3_S3_contigs.fasta
4_S4_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/4_S4_contigs.fasta
5_S5_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/5_S5_contigs.fasta
6_S6_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/6_S6_contigs.fasta
8_S8_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/8_S8_contigs.fasta
9_S9_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/9_S9_contigs.fasta
A15_S15_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/A15_S15_contigs.fasta
A16_S16_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/A16_S16_contigs.fasta
A1_S1_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/A1_S1_contigs.fasta
A-2013-70-F524-1_S1_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/A-2013-70-F524-1_S1_contigs.fasta
A-2013-70-F524-2_S2_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/A-2013-70-F524-2_S2_contigs.fasta
A-2014-70-F537_S3_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/A-2014-70-F537_S3_contigs.fasta
A22_S22_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/A22_S22_contigs.fasta
A25_S9_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/A25_S9_contigs.fasta
A2_S2_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/A2_S2_contigs.fasta
A3_S3_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/A3_S3_contigs.fasta
A4_S4_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/A4_S4_contigs.fasta
A5_S5_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/A5_S5_contigs.fasta
A6_S6_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/A6_S6_contigs.fasta
A7_S7_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/A7_S7_contigs.fasta
A8_S8_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/A8_S8_contigs.fasta
A9-2_S2_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/A9-2_S2_contigs.fasta
Acidobacteria_bacterium_Mor1_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Acidobacteria_bacterium_Mor1_genomic.fasta
Aciduliprofundum_boonei_T469_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Aciduliprofundum_boonei_T469_genomic.fasta
Aciduliprofundum_sp_MAR08-339_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Aciduliprofundum_sp_MAR08-339_genomic.fasta
Acinetobacter_venetianus_VE-C3_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Acinetobacter_venetianus_VE-C3_genomic.fasta
Actinoalloteichus_hymeniacidonis_strain_HPA177_DSM,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Actinoalloteichus_hymeniacidonis_strain_HPA177_DSM_45092_genomic.fasta
Actinoalloteichus_sp_ADI127-7_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Actinoalloteichus_sp_ADI127-7_genomic.fasta
Actinoalloteichus_sp_GBA129-24_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Actinoalloteichus_sp_GBA129-24_genomic.fasta
Aeromonas_salmonicida_subsp_salmonicida_A449_genom,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Aeromonas_salmonicida_subsp_salmonicida_A449_genomic.fasta
Aeropyrum_camini_SY1_JCM_12091_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Aeropyrum_camini_SY1_JCM_12091_genomic.fasta
Aeropyrum_pernix_K1_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Aeropyrum_pernix_K1_genomic.fasta
Agarivorans_gilvus_strain_WH0801_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Agarivorans_gilvus_strain_WH0801_genomic.fasta
Agrococcus_jejuensis_strain_DSM_22002_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Agrococcus_jejuensis_strain_DSM_22002_genomic.fasta
A-H130426-2_S6_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/A-H130426-2_S6_contigs.fasta
A-H1309-1-3_S8_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/A-H1309-1-3_S8_contigs.fasta
